Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF, 35V","C_Elec_6.3x7.7",118.262400,-95.171300,270.000000,top
"C2","0.1uF","C_0402_1005Metric",123.799600,-96.852600,270.000000,top
"C3","0.1uF","C_0402_1005Metric",128.267600,-90.271600,180.000000,top
"C4","18pF","C_0402_1005Metric",123.446400,-92.049600,180.000000,top
"C5","22uF, 16V","CP_Elec_4x5.3",140.706200,-92.862400,0.000000,top
"C6","1uF","C_0402_1005Metric",136.779000,-90.020000,90.000000,top
"D1","1A SMA","D_SMA",113.429800,-88.747600,180.000000,top
"D2","BAT60AE6327","D_SOD-323",129.736600,-97.637600,0.000000,top
"J1","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",106.248200,-59.004200,270.000000,top
"L1","4.7uH","L_Taiyo-Yuden_NR-50xx",132.762400,-92.532200,0.000000,top
"R1","49.9K","R_0402_1005Metric",123.799600,-94.566600,270.000000,top
"R2","49.9K","R_0402_1005Metric",125.425200,-89.766000,270.000000,top
"R3","9.53K","R_0402_1005Metric",123.446400,-90.271600,180.000000,top
"U2","AOZ1280","SOT-23-6",126.415800,-93.352800,270.000000,top
